Provider Name,Street Address,State,City,Zipcode,County,Phone Number
A PLUS AUTISM SOLUTIONS,1111 W 14th Place 330,CHICAGO,IL,60608,Cook,(773) 371-5691
A STEP FORWARD INC.,5310 E WILLIAMS ST,DECATUR,IL,62521,Macon,(217) 422-6361
"ABA OF ILLINOIS, LLC",220 N LAFAYETTE ST,MACOMB,IL,61455,McDonough,(309) 837-5506
ACE BEHAVIOR SOLUTIONS INC,13071 DUNMOOR DR,LEMONT,IL,60439,Will,(773) 592-2653
ALEXIS LYBROOK TAUBERT PHD LTD,1001 N MILWAUKEE AVE #304,CHICAGO,IL,60622,Cook,(773) 248-5135
"ALSTON, DANA",Not Available,VIENNA,IL,62995,Johnson,(618) 658-2005
APEX PEDIATRIC THERAPY SVCS,4709 ABBEY LN,MATTESON,IL,60443,Cook,(708) 710-0640
"APOSTOLIC CHRISTIAN LIFEPOINTS, INC",2125 Veterans Road,Morton,IL,61550,Tazewell,(309) 266-9781
APPLIED BEHAVIORAL SERVICES LLC,10 A and K Dr.,METROPOLIS,IL,62960,Massac,(618) 524-8996
ARROWLEAF,PO BOX 759 125 NORTH MARKET,GOLCONDA,IL,62938,Pope,(618) 658-2611
ASPIRE OF ILLINOIS,1815 SOUTH WOLF ROAD,Hillside,IL,60162,Cook,(708) 236-0979
ASSOCIATION FOR INDIVIDUAL DEVELOPMENT,309 W New Indian Trail Court,AURORA,IL,60506,Kane,(630) 966-4000
AURORA HOME CARE INC.,2970 Maria Ave Suite 210,NORTHBROOK,IL,60062,Cook,(847) 559-1222
BEHAVIOR ANALYSIS CORPORATION,109 COUNTRY CLUB EST,SALEM,IL,62881,MARION,(314) 740-5639
BEHAVIOR INTERVENTION & ORGANIZATIONAL SYSTEMS LLC dba BIOS ABA Consultants,828 HANNAH AVE,FOREST PARK,IL,60130,COOK,(708) 257-6074
BEHAVIOR THERAPY SPECIALIST OF IL & MO,126 W SARAH AVE,ST. LOUIS,MO,63122,N/A,(314) 252-2069
BEHAVIORAL LEARNING LLC,1112 Elgin Ave,FOREST PARK,IL,60130,Cook,(312) 720-9473
Behavioral Perspective Inc.,"245 W ROOSEVELT ROAD BUILDING 15, SUITE 103",WEST CHICAGO,IL,60185,Cook,(888) 308-3728
BEHAVIORAL SERVICES OF S. IL,7 BLACKBERRY LN,CARBONDALE,IL,62903,Jackson,(618) 303-9282
"BEISNER, TIFFANY",Not Available,ANNA,IL,62906,union,(618) 528-0273
Best Practices Behavior & Support,3708 Regal Ridge Circle,Rockford,IL,61114,Winnebago,(815) 871-9222
BETHESDA ABA,13550 S Route 30 Ste 200,Plainfield,IL,5087,Will,(815) 230-2111
BETHSHAN ASSOCIATION,12927 S MONITOR AVE,PALOS HEIGHTS,IL,60463,Cook,(708) 371-0800
BLUE ISLAND CITIZENS FOR PERSONS WITH DEVELOPMENTAL DISABILITIES,2155 Broadway,BLUE ISLAND,IL,60406,Cook,(708) 389-6578
BROADSTEP ACADEMY-IL INC,701 W. Lamm Rd.,Freeport,IL,61032,Stephenson,(815) 233-6162
"BUZELLI, CORTNEY",Not Available,HARVEY,IL,60426,Cook,(708) 473-6420
C L O PSYCHOLOGICAL SRV LTD,925 KILLARNEY DR,DYER,IN,46311,N/A,(773) 618-2231
CENTER FOR DISABILITY SERVICES,311 S Reed Street,JOLIET,IL,60436,Will,(815) 744-3500
CHALLENGE UNLIMITED INC,4 EMMIE L KAUS LN,ALTON,IL,62002,Madison,(618) 465-0044
"Chapman, Terrance",Not Available,Chicago,IL,60613,Cook,(832) 755-5521
CHICAGO LIGHTHOUSE FOR THE BLIND,1850 W ROOSEVELT RD,CHICAGO,IL,60608,Cook,(312) 666-1331
CILA CORPORATION,832-C W NORTH AVE P.O. BOX 160,FLORA,IL,62839,Clay,(618) 662-8494
CLEARBROOK,1835 WEST CENTRAL ROAD,ARLINGTON HEIGHTS,IL,60005,Cook,(847) 870-7711
COLEMAN TRI COUNTY SERVICES,PO BOX 869 - 22 Veterans Drive,HARRISBURG,IL,62946,Saline,(618) 252-0275
COMMUNITY LINK INC,"1665 N 4TH ST, PO BOX 157",BREESE,IL,62230,Clinton,(618) 526-8800
COMMUNITY SUPPORT SERVICES INC,9021 OGDEN AVE,BROOKFIELD,IL,60513,Cook,(708) 354-4547
CONSULTING PROFESSIONALS INC,6300 N RIDGE,CHICAGO,IL,60660,Cook,(773) 973-6300
COPING TOGETHER SERVICES INC,15127 S 73RD AVE STE C,ORLAND PARK,IL,60462,Cook,(708) 586-9303
CORNERSTONE SERVICES,777 JOYCE RD,JOLIET,IL,60435,Will,(815) 727-6666
COUNSELING SPECIAL NEEDS ADULTS,610 Academy Dr,NORTHBROOK,IL,60062,Cook,(847) 205-1234
CTF ILLLINOIS,18230 Orland Parkway,Orland Park,IL,60467,Cook,(708) 429-1260
EASTER SEALS JOLIET REGION INC,212 BARNEY DR,JOLIET,IL,60435,Will,(815) 725-2194
ENVISION UNLIMITED,8 S MICHIGAN AVE SUITE 1700,CHICAGO,IL,60603,Cook,(312) 346-6230
EPIC,1913 W Townline Rd,Peoria,IL,61615,Peoria,(309) 691-3800
ESPERANZA COMMUNITY SERVICES,520 N MARSHFIELD AVE,CHICAGO,IL,60622,Cook,(312) 243-6097
FAMILIES BUILDING DREAMS,2970 MARIA AVE #211,NORTHBROOK,IL,60062,Cook,(847) 272-2222
FAMILY ASSOCIATION PLUS,15746 VINE,HARVEY,IL,60426,Cook,(708) 473-6420
"FERN LEAF ABA, LLC","5739 W MARTINDALE LN,",PEORIA,IL,61615,Peoria,(309) 253-1683
FOREST CITY BEHAVIOR AND DEVELOPMENT,9510 St Clair Ave,FAIRVIEW HEIGHTS,IL,62208,St Clair,(618) 277-4100
"FRAKES, JENNIFER L",Not Available,SPRINGFIELD,IL,62702,Sangamon,(217) 588-8638
"FUNDERBURG, DYNATA",Not Available,FLOSSMOOR,IL,60422,Cook,(708) 647-6426
"GAODE, ERIC",Not Available,MORTON GROVE,IL,60076,Cook,(847) 890-1157
"GATEWAY SERVICES, INC.",406 S GOSSE BLVD,PRINCETON,IL,61356,Bureau,(815) 875-4548
GLENKIRK,3504 COMMERCIAL AVE.,NORTHBROOK,IL,60062,Cook,(847) 272-5111
HAWK PSYCHOLOGICAL SERVICES,7660 Gross Point Road,SKOKIE,IL,60077,Cook,(847) 967-1800
HELPING HAND CENTER,9649 W 55TH ST,COUNTRYSIDE,IL,60525,Cook,(708) 352-3580
"Herrera, Alexis",Not Available,Chicago,IL,60618,Cook,(847)772-0436
HUMAN SUPPORT SERVICES,"988 N. Illinois Route 3, PO BOX 146",WATERLOO,IL,62298,Monroe,(618) 939-4444
ILLINOIS MENTOR COMMUNITY SERVICES INC,18440 Thompson Court Suite 104,"Tinley Park,",IL,60477,Cook,(815) 464-3239
INDIVIDUAL ADVOCACY GROUP INC,1289 WINDHAM PARKWAY,ROMEOVILLE,IL,60446,Will,(630) 759-0201
INDIVIDUAL BEHAVIOR SUPPORT LLC,"1107 W Deyoung St, Suite 70",Marion,IL,62959,Williamson,(314) 428-2328
INSTRUCTIONAL ABA CONSULTANTS inc,"1975 McDowell Road, #101",NAPERVILLE,IL,60563,DuPage,(331) 229-8839
JOSEPH REHABILITATION CENTER,21209 SHANNON AVENUE,MATTESON,IL,60433,Cook,(708) 720-3315
"KCCDD, INC.",2015 WINDISH DR,GALESBURG,IL,61401,Knox,(309) 344-2600
KESHET,610 Academy Dr,NORTHBROOK,IL,60062,Cook,(847) 205-1234
KREIDER SERVICES INC.,500 ANCHOR RD P O BOX 366,DIXON,IL,61021,Lee,(815) 288-6691
"KRYPTON, INC",10 A and K Dr.,METROPOLIS,IL,62960,Massac,(618) 524-8996
"KRYSZAK, KELSEY",Not Available,OAK LAWN,IL,60453,Cook,(708) 663-6964
LEEDA SERVICES OF ILLINOIS INC,7344 N. Western Avenue,CHICAGO,IL,60645,Cook,(773) 274-9760
"LEWIS, JENNIFER",Not Available,BLOOMINGDALE,IL,60108,DuPage,(630) 479-8936
"LifeSpeed Behavioral Support Services, LLC","721 South Blvd, Suite 210",Oak Park,IL,60302,Cook,(312) 404-7225
LINCOLN SQUARE INC,202 S MAIN ST,JONESBORO,IL,62952,Union,(618) 833-2063
LITTLE CITY FOUNDATION,1760 W ALGONQUIN RD,PALATINE,IL,60067,Cook,(847) 358-5510
"LITTLE FRIENDS, INC",27555 DIEHL,Warrenville,IL,60555,DuPage,(630) 355-6533
"LIVESAY, JIMMIE R",Not Available,JONESBORO,IL,62952,Union,(618) 614-4265
"MAFTEI, NADIA CLAUDIA",Not Available,CHICAGO,IL,60659,Cook,(773) 558-7953
MARCFIRST,1606 HUNT DRIVE,NORMAL,IL,61761,McLean,(309) 451-8888
MCALLISTER ANALYTICS INC,7836 N Nora Ave,NILES,IL,60714,Cook,(708) 915-0920
MISERICORDIA HOME,6300 N RIDGE,CHICAGO,IL,60660,Cook,(773) 973-6300
MOMENTUM BEHAVIOR SERVICES LLC,1999 INDIANA AVE,LANSING,IL,60438,Cook,(708) 227-0793
MOSAIC OF ILLINOIS,220 N LAFAYETTE ST,MACOMB,IL,61455,McDonough,(309) 837-5506
"NELSON, SCOTT",6036 NORTH WINCHESTER,CHICAGO,IL,60660,Cook,(847) 626-4816
NEW STAR INC,1005 W END AVE,CHICAGO HEIGHTS,IL,60611,Cook,(708) 755-8030
NORTHERN IL BEHAVIORAL SERVICES,500 WEST SOUTH ST,FREEPORT,IL,61032,Stephenson,(815) 266-4239
NORTHPOINTE RESOURCES INC,3441 SHERIDAN RD,ZION,IL,60099,LAKE,(847) 872-1700
NU-CARE INC,19150 S KEDZIE AVE,Flossmoor,IL,60422,Cook,(708) 922-2111
ORCHARD VILLAGE,7660 Gross Point Road,SKOKIE,IL,60077,Cook,(847) 967-1800
PARK LAWN SCHOOL and ACTIVITY,10833 S LAPORTE AVE,OAK LAWN,IL,60453,Cook,(708) 425-3344
"PATHWAY SERVICES UNLIMITED, INC.",1905 WEST MORTON AVE,JACKSONVILLE,IL,62650,Morgan,(217) 479-2300
PATHWAYS THERAPEUTIC SERVICES INC,15255 S 94TH AVE STE 500 PO BOX 1006,FRANKFORT,IL,60423,Will,(312) 342-0631
PRECISION ABA LLC,2970 MARIA AVE #211,NORTHBROOK,IL,60062,Cook,(847) 272-2222
PREMIERCARE CONSULTING LLC,"1811 High Grove Lane, Suite 139, 1st Floor",NAPERVILLE,IL,60540,DuPage,(630) 579-4325
PROGRESSIVE BEHAVIOR SOLUTIONS,4109 FLORENCE WAY,GLENVIEW,IL,60025,Cook,(773) 780-1448
R and J ENTERPRISES COUNTRY LIVING INC,221 EAST AVE,ANNA,IL,62906,Union,(618) 833-7418
RANGE OF MOTION INC,"135 E. St. Charles Road, Ste G",Carol Stream,IL,60188,DuPage,(630) 871-8696
RAY GRAHAM ASSOCIATION,"901 Warrenville Road, Suite 500",Lisle,IL,60532,DuPage,630-620 2222
"RICKETTS, TANEA",Not Available,BROWNSTOWN,IL,62418,Fayette,(618) 339-1063
"ROYAL LIVING CENTER, INC",200 SOUTH 9TH,NEW BADEN,IL,62265,Clinton,(618) 588-7295
"SAENZ, ABRAHAM",Not Available,CHICAGO,IL,60629,Cook,(312) 451-4814
"SALHA, LORI",Not Available,Schaumburg,IL,60173,DuPage,(708) 351-2676
SEARCH DEVELOPMENTAL CENTER,1925 N CLYBOURN AVE STE 200,CHICAGO,IL,60614,Cook,(773) 305-5000
SERTOMA CENTRE INC,4343 W 123RD ST,ALSIP,IL,60803,Cook,(708) 371-9700
"SHORE COMMUNITY SERVICES, INC",8350 LARAMIE AVE,SKOKIE,IL,60077,Cook,(847) 982-2030
"Smith, Verma",Not Available,Country Club Hills,IL,60478,Cook,(708) 510-7122
SOLID GROUND BEHAVIORAL SRVCS,11940 S SPRINGFIELD AVE,ALSIP,IL,60803,Cook,(708) 969-4109
SPARC,232 BRUNS LANE,SPRINGFIELD,IL,62702,Sangamon,(217) 793-2100
SPECIALIZED TRAINING FOR ADULT REHABILITATION,"20 North 13st Street, P.O. BOX 938",MURPHYSBORO,IL,62966,Jackson,(618) 687-2378
"SPRINGHEALTH BEHAVIOR HEALTH OF IL, LLC",18440 Thompson Court Suite 104,"Tinley Park,",IL,60477,Cook,(815) 464-3239
ST COLETTA'S OF ILLINOIS,18350 CROSSING DR,TINLEY PARK,IL,60487,Cook,(708) 342-5200
STATE OF MIND MENTAL HEALTH AND COUNSELING SERVICES,17911 LOS ANGELES AVE,Homewood,IL,60430,Cook,(773) 807-2144
STEINBERG BEHAVIOR SOLUTIONS,3109 W NORTH SHORE AVE,CHICAGO,IL,60645,Cook,(847) 676-5398
STREATOR UNLIMITED INC,305 N Sterling St PO Box 706,STREATOR,IL,61364,Livingston,(815) 673-5574
"STUBNAR, HOLLY",Not Available,Chicago,IL,60614,Cook,(618) 201-1146
SUPPORT SYSTEMS AND SERVICES INC,9510 St Clair Ave,FAIRVIEW HEIGHTS,IL,62208,St Clair,(618) 277-4100
"Supporting Community Independence, LLC",1 Polo Grounds Ct,Bethalto,IL,62010,Madison,(618) 806-4344
TASH INC,PO Box 338 - 1303 N 7th Street,MURPHYSBORO,IL,62966,Jackson,(618) 867-3881
THE ARC OF THE QUAD CITIES AREA,4016 9th St,Rock Island,IL,61201,Rock Island,(309) 786-6474
TRADE INDUSTRIES,"1020 E. Randolph St P.O. Box 70,",MCLEANSBORO,IL,62859,Hamilton,(618) 643-4321
TRANSITIONS OF WESTERN ILLINOIS,4409 Maine St,QUINCY,IL,62305,Adams,(217) 223-0413
TRINITY SERVICES INC,301 Veterans Parkway,NEW LENOX,IL,60451,Will,(815) 485-6197
"TWEEDY, RICHARD",Not Available,ANNA,IL,62906,Union,(618) 697-2238
UNITED CEREBRAL PALSY SEGUIN OF GREATER CHICAGO,3100 South Central Ave,CICERO,IL,60804,Cook,(708) 863-3803
WARREN ACHIEVEMENT CENTER,1220 East 2nd Ave,MONMOUTH,IL,61642,Warren,(309) 734-3131
WILLIAM M BEDELL ACHIEVEMENT,P O BOX 349 - 400 S Main,WOOD RIVER,IL,62095,Madison,(618) 251-2175
"WINBUSH, KELLYE M",Not Available,CHICAGO,IL,60615,Cook,(404) 849-8248
